"Rank","Name","Team","Bye","Pos","Age","Height","Weight","Andy","Jason","Mike"
"1","Jeremiyah Love","ARI","","RB","21","6' 0""","212 lbs","1","1","1"
"2","Jordyn Tyson","NO","","WR","21.8","6' 2""","203 lbs","3","2","2"
"3","Carnell Tate","TEN","","WR","21.4","6' 2""","192 lbs","2","3","3"
"4","Makai Lemon","PHI","","WR","22","5' 11""","192 lbs","4","4","4"
"5","Jadarian Price","SEA","","RB","22.7","5' 11""","209 lbs","5","5","5"
"6","KC Concepcion","CLE","","WR","21.7","6' 0""","190 lbs","6","6","6"
"7","Eli Stowers","PHI","","TE","23.2","6' 3""","239 lbs","7","8","8"
"8","Kenyon Sadiq","NYJ","","TE","21.3","6' 3""","241 lbs","11","7","7"
"9","Fernando Mendoza","LV","","QB","22.7","6' 5""","225 lbs","8","9","11"
"10","Omar Cooper Jr.","NYJ","","WR","22.5","6' 0""","199 lbs","9","10","9"
"11","Denzel Boston","CLE","","WR","22.5","6' 4""","215 lbs","10","11","12"
"12","Germie Bernard","PIT","","WR","22.5","6' 1""","206 lbs","15","13","10"
"13","Chris Bell","MIA","","WR","22","6' 2""","220 lbs","13","15","13"
"14","Antonio Williams","WAS","","WR","21.9","5' 11""","195 lbs","14","12","16"
"15","Jonah Coleman","DEN","","RB","22.8","5' 8""","220 lbs","12","18","14"
"16","Ted Hurst","TB","","WR","21.9","6' 3""","195 lbs","16","16","17"
"17","Malachi Fields","NYG","","WR","22.8","6' 4""","222 lbs","24","19","15"
"18","De'Zhaun Stribling","SF","","WR","23.5","6' 2""","207 lbs","20","14","26"
"19","Chris Brazzell II","CAR","","WR","22.6","6' 4""","198 lbs","17","25","18"
"20","Elijah Sarratt","BAL","","WR","23","6' 2""","210 lbs","22","17","24"
"21","Nicholas Singleton","TEN","","RB","22.4","6' 0""","219 lbs","21","23","20"
"22","Emmett Johnson","KC","","RB","22.7","5' 11""","200 lbs","19","26","21"
"23","Zachariah Branch","ATL","","WR","22.2","5' 10""","180 lbs","25","27","19"
"24","Mike Washington Jr.","LV","","RB","23","6' 2""","228 lbs","29","22","22"
"25","Ja'Kobi Lane","BAL","","WR","21.8","6' 4""","200 lbs","31","20","27"
"26","Ty Simpson","LAR","","QB","23.5","6' 1""","211 lbs","18","33","29"
"27","Kaytron Allen","WAS","","RB","23.4","5' 11""","217 lbs","27","30","23"
"28","Kaelon Black","SF","","RB","24.7","5' 9""","208 lbs","38","24","25"
"29","Adam Randall","BAL","","RB","21.9","6' 3""","232 lbs","30","29","28"
"30","Skyler Bell","BUF","","WR","23.9","5' 11""","192 lbs","23","35","30"
"31","Max Klare","LAR","","TE","22.9","6' 4""","246 lbs","28","39","31"
"32","Garrett Nussmeier","KC","","QB","24.3","6' 1""","205 lbs","33","",""
"33","Oscar Delp","NO","","TE","22.9","6' 4""","245 lbs","26","44","32"
"34","Bryce Lance","NO","","WR","23.8","6' 3""","204 lbs","39","32","34"
"35","Eli Raridon","NE","","TE","22.3","6' 6""","245 lbs","36","38","35"
"36","Demond Claiborne","MIN","","RB","22.7","5' 10""","188 lbs","32","45","33"
"37","Carson Beck","ARI","","QB","24.6","6' 4""","233 lbs","40","36","36"
"38","Brenen Thompson","LAC","","WR","22.9","5' 9""","170 lbs","41","34","38"
"39","Caleb Douglas","MIA","","WR","22.8","6' 4""","205 lbs","47","21","46"
"40","Eli Heidenreich","PIT","","RB","22.9","6' 0""","198 lbs","43","31","40"
"41","Seth McGowan","IND","","RB","24.6","6' 0""","223 lbs","35","42","37"
"42","Michael Trigg","DAL","","TE","24","6' 4""","240 lbs","42","",""
"43","J'Mari Taylor","JAX","","RB","24.3","5' 9""","199 lbs","34","50","48"
"44","Drew Allar","PIT","","QB","22.3","6' 5""","228 lbs","49","40","43"
"45","Justin Joly","DEN","","TE","21.9","6' 3""","241 lbs","44","51","39"
"46","Sam Roush","CHI","","TE","22.8","6' 5""","267 lbs","46","48","42"
"47","Cade Klubnik","NYJ","","QB","22.7","6' 2""","207 lbs","50","37","51"
"48","Roman Hemby","LV","","RB","23.8","6' 0""","210 lbs","37","49","52"
"49","Taylen Green","CLE","","QB","23.6","6' 6""","230 lbs","51","41","49"
"50","Deion Burks","IND","","WR","23.4","5' 9""","180 lbs","54","43","45"
"51","Cole Payton","PHI","","QB","23.6","6' 2""","232 lbs","48","",""
"52","Kevin Coleman Jr.","MIA","","WR","22.8","5' 10""","180 lbs","45","59","41"
"53","Jack Endries","CIN","","TE","22.2","6' 5""","245 lbs","56","46","44"
"54","Zavion Thomas","CHI","","WR","22.3","5' 10""","190 lbs","68","28","53"
"55","Marlin Klein","HOU","","TE","23.7","6' 6""","250 lbs","53","47","50"
"56","Tanner Koziol","JAX","","TE","23.4","6' 7""","250 lbs","52","52","47"
"57","CJ Daniels","LAR","","WR","24.4","6' 2""","202 lbs","57","",""
"58","Malik Benson","LV","","WR","23.7","6' 1""","195 lbs","58","",""
"59","Barion Brown","NO","","WR","22.5","5' 11""","177 lbs","55","60","60"
"60","Cyrus Allen","KC","","WR","23.3","5' 11""","180 lbs","60","58","59"
"61","Matt Hibner","BAL","","TE","24.3","6' 4""","251 lbs","59","",""
"62","Jam Miller","NE","","RB","22.1","5' 10""","209 lbs","71","53","54"
"63","Reggie Virgil","ARI","","WR","22.1","6' 3""","187 lbs","70","56","57"
"64","Josh Cameron","JAX","","WR","23.2","6' 1""","224 lbs","61","",""
"65","Kendrick Law","DET","","WR","22","5' 11""","203 lbs","69","57","58"
"66","Jeff Caldwell","KC","","WR","23.3","6' 5""","215 lbs","62","",""
"67","Colbie Young","CIN","","WR","23.9","6' 4""","218 lbs","77","55","56"
"68","Nate Boerkircher","JAX","","TE","24.8","6' 5""","245 lbs","63","",""
"69","Kaden Wetjen","PIT","","WR","24.3","5' 9""","193 lbs","81","54","55"
"70","RJ Maryland","GB","","TE","21.9","6' 3""","236 lbs","64","",""
"71","Will Kacmarek","MIA","","TE","23.3","6' 6""","258 lbs","65","",""
"72","Tyren Montgomery","TEN","","WR","24.9","5' 11""","204 lbs","66","",""
"73","Joe Royer","CLE","","TE","24.3","6' 5""","250 lbs","67","",""
"74","Riley Nowakowski","PIT","","RB","23.9","6' 2""","250 lbs","72","",""
"75","Seydou Traore","MIA","","TE","23.8","6' 4""","235 lbs","73","",""
"76","Dallen Bentley","DEN","","TE","25.4","6' 4""","253 lbs","74","",""
"77","Josh Cuevas","BAL","","TE","22.7","6' 3""","245 lbs","75","",""
"78","Dae'Quan Wright","PHI","","TE","22.7","6' 4""","246 lbs","76","",""
"79","Jaren Kanak","TEN","","TE","22.3","6' 2""","234 lbs","78","",""
"80","Carsen Ryan","CLE","","TE","22.8","6' 3""","255 lbs","79","",""
"81","Chase Roberts","LV","","WR","25.4","6' 4""","210 lbs","80","",""
"82","Dean Connors","LAR","","RB","22.8","5' 11""","206 lbs","82","",""
"83","Jaydn Ott","KC","","RB","23.5","5' 11""","208 lbs","83","",""