"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Josh Allen","QB","BUF","7","1","378.9","2.6","9.7","3.05","1","He is him. While technically Allen finished with his lowest fantasy points per game average since 2019, he continued his streak of being the QB1 or QB2 for the sixth consecutive season. In 2024, Allen became the first top-5 fantasy QB without a top-36 scoring WR or top-12 TE. In 2025, he did it again. Same exact thing. Yes, he is now 30 years old, and the Bills mixed things up, firing HC Sean McDermott. The offense should remain the same, with the WR corps hopefully upgraded with the addition of DJ Moore. Allen is our unquestioned QB1 and the first pick in 2QB/SuperFlex leagues. However, in 1QB leagues, we caution taking him at the end of Round 2 and would prefer to load up on RBs or WRs.","Allen is the all-time leader in fantasy points per game and career rushing TDs (79) for a QB… and we are only entering Year 9 in the NFL. Bask in his greatness and remind your league mates that Allen is him.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Lamar Jackson","QB","BAL","7","2","349.1","5.2","9.3","4.04","2","For the first three weeks of the season, it was vintage Lamar, averaging 27.6 fantasy points on the back of three passing TDs and 39 rushing yards per game. Unfortunately, a back injury altered his season and the future of the Baltimore Ravens. After returning in Week 9, he never quite looked like himself, averaging just 13.5 fantasy points, 1.2 passing TDs, and 20 rushing yards per game. With John Harbaugh out, it feels like a different era in Baltimore. Lamar’s raw pass attempts remain low yet continue to be the most valuable in fantasy: 40% were 10+ air yards (second highest in NFL) and 9% were “end-zone” attempts, the highest rate in the NFL. He remains in the annual top-5 QB conversation, but we would prefer if he slipped into the fourth or fifth round in redraft.","At 29 years old, we still are in prime territory for a run of multiple dominant fantasy seasons. He is our consensus QB5 in startups. Don’t be the idiot sandwich in your league who got too cute trading away Lamar because you thought the “value” was too good to pass up.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jayden Daniels","QB","WAS","12","3","341.7","4.3","6.2","6.04","2","After a storybook rookie season, the Washington Commanders nosedived in Year 2 of the Jayden Daniels era as he struggled with injuries (knee, hamstring, and elbow) before being shut down in Week 15 for the season. His rushing numbers remained on par with 2024, but the cast of receivers certainly let him down as 11% of his passes were dropped, the highest rate in the NFL. Daniels can be a difference-making fantasy asset due to his legs, but drafters are not giving any sort of discount this year. In other words, you will have to pay up for what he did as a rookie and the hope that he can return to top-5 status.","Jayden won Offensive Rookie of the Year in 2024 and took the league by storm. Then in 2025, he recorded just ONE top-12 fantasy finish. We still view him as a top-tier fantasy QB given his elite rushing ability, but his true ceiling is at least worth questioning in the short term, given the lack of continuity at OC and barren skill group.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake Maye","QB","NE","14","4","335.8","4.1","8.2","5.01","2","The signs were there in Year 1 that Maye was likely going to be a good starter in this league, but what he did in Year 2 was amazing. He was barely edged out by Matthew Stafford for league MVP, but in any other season, Maye easily could have taken home that award. He led the league in EPA per play and completion percentage while finishing inside the top-five at the position in fantasy points per drop back, which is pretty insane considering his porous offensive line and a middling pass-catching group. Add A.J. Brown to the mix and we are still bullish on the young superstar. Through 28 full games in his career, he is averaging 31 rushing yards per game, which gives him a weekly floor to finish as a top-5 QB again.","Still only 23 years old, Maye is now firmly locked in as a top-tier dynasty QB for years to come, thanks to his fantasy-friendly skill set. He sports the fourth-highest pass success rate of any QB through their 1st 2 years in the NFL behind only Mahomes, Purdy, and Marino.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Hurts","QB","PHI","9","5","332.2","3.8","5.8","6.08","2","Are fantasy managers experiencing name fatigue? Hurts is coming off a season with the worst consistency metrics of his career, including averaging just 16.3 fantasy points per game from Week 9 on. We saw his fewest TDs inside the 5-yard line and now with AJ Brown leaving and yet another OC change, perhaps fantasy managers are scared off. While Hurts isn't a slouch as a passer, we love him in fantasy for his ability to use his legs. The overall Philly offense should return to form, making Hurts a relative value compared to where he was being drafted in the past.","We are not trying to bury the recent Super Bowl MVP, but if someone in your league still views him as a locked-in top-5 QB, we are willing to listen to offers. We still view Hurts as a top-10 dynasty QB, but it is fair to wonder where this thing goes over the next 2-3 years if the Tush Push gets banned.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Joe Burrow","QB","CIN","10","6","331.9","5.5","8.9","5.10","3","Through six seasons as Cincy’s signal-caller, Burrow has three elite fantasy seasons and three injury-plagued disappointments. In 2025, he went down in Week 2 and did not return until Week 13. Those final six weeks were vintage Burrow as he put together a 17-game pace of 4500+ passing yards and 43 passing TDs. It also helps that the Cincy defense has a ton of holes, forcing shootouts and more passing volume Burrow’s way. While we don’t love living and dying with TD rates from pocket passers, Burrow runs just enough to ignore that rule. They throw enough inside the red zone to justify his ADP.","With Ja’Marr Chase and Tee Higgins locked up for at least the next three years, you have to be cackling to yourself if you are a Burrow manager. He is a weekly threat to finish as QB1, and at only 29 years old, he feels so safe as a top-5 dynasty QB in startups. Now if only the Bengals could help improve his .389 winning percentage in September…","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trevor Lawrence","QB","JAX","8","7","329.5","4.9","7.7","8.10","3","2025 was by far Lawrence’s best fantasy campaign thanks to whatever pep talk the team received during their Week 8 bye. From then on, he was the QB1 for fantasy, averaging 22.6 fantasy points per game. He joined Josh Allen as the only QBs in NFL history with 4,000+ passing yards, 29+ passing TDs, and 9+ rushing TDs in the same season. Credit goes to Liam Coen, who transformed this offense in the second half despite a WR room that dropped 8.6% of TLaw’s pass attempts, tied for the highest rate of any QB over the last four years. Lawrence is not being overdrafted based on last year’s finish, so we are still in for 1QB leagues if he is available near the double-digit rounds.","It was quite the boom year for Lawrence as his rushing production spiked with his most attempts, yards, and carries inside the 5 of his career. Only 26 years old, expect the rushing TDs to regress, but the Jags look like a legit contender in the AFC. We view Lawrence as a back-end QB1 but would prefer him as a high-end QB2 in SuperFlex leagues.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxson Dart","QB","NYG","14","8","328.4","5.7","8.2","7.11","3","After the Giants traded up in the first round to take Dart, he exceeded expectations as a rookie, averaging 41 rushing yards per game in his starts, the fifth best among rookie QBs ever. He tied Drake Maye for fourth-best in fantasy points per dropback last year despite attempting three total passes to Malik Nabers before he went down. Dart’s upside is enticing despite the fact that he plays with reckless abandon. His ADP is not accounting for a Year 2 leap, making him a prime candidate to roll with as a late-round QB.","There are some variables at play with a new coaching staff, offensive play-caller, and the recovery timeline for Malik Nabers. Nevertheless, Dart is a mobile QB on a young, ascending offense that seems to provide fantasy-friendly results. His playstyle might invite more risk, but in dynasty, we view him as a low-end QB1.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dak Prescott","QB","DAL","10","9","323.8","4.1","7.7","9.02","4","Another year and another opportunity for fantasy managers to disrespect the Dallas franchise QB. His ten top-10 weekly finishes tied Josh Allen and Matthew Stafford for most among QBs as he led the NFL in completions and set career highs in passing yards and attempts. He did have massive splits in Cowboys wins (24.0 ppg) and losses (12.7), the largest gap of any QB in 2025. Blessed with a historically bad defense, Cowboys games averaged 58 combined points, always giving Dak and company a chance to jump into a shootout.  We love us some Dak.","His age (almost 33) keeps his dynasty value at bay, but he is under contract for another three years. In SuperFlex leagues, he is the type of QB2 we love trying to work a deal for during the lulls of the off-season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Caleb Williams","QB","CHI","5","10","317.8","5.8","7.8","8.07","4","Williams set the Bears’ all-time passing yardage mark (3,942), improved his pressure-to-sack ratio mightily, and had five games of 24+ fantasy points in Year 2. However, the erratic play still frustrates fantasy managers as he completed just 58% of his passes, a mark surpassing only Shedeur Sanders and J.J. McCarthy. He was more effective as a runner, including adding three scores on the ground. In Year 2 of the Ben Johnson system, perhaps there is room for Caleb to fly even higher and finish as a top-5 QB.","We are lower than the market on Caleb, putting him inside our top-10 QBs, but firmly two tiers behind the other top-end guys. The upside is tantalizing, especially entering his age-24 season with one of the best young pass-catching corps in the league. He is a hold, considering anyone trading away Caleb wants an absolute haul.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jared Goff","QB","DET","8","11","314.0","2.8","7.2","11.11","4","Impress your friends by letting them know the only QBs to finish inside the top-10 at the position each of the last four years: Josh Allen, Jalen Hurts, and… drumroll… Jared Goff. The first half was middling with just one top-12 finish, but he responded when things mattered for fantasy, averaging 20.3 fantasy points per game from Weeks 10-16. He imploded in Week 17 at Minnesota (two INTs, three fumbles, five sacks), but that is the game you play with Goff. He offers nothing in the run game, keeping his ceiling around that QB10 mark. The Lions are favored in 14 of their first 15 games, including a juicy Week 1 matchup at home against the Saints. We know what Goff is at this point: a streaky streamer who remains one of the best at dicing up zone coverages.","Goff is the perfect QB2 in dynasty attached to a high-powered offense, yet likely undervalued by your league mates. He is signed through 2028 and somehow still only 31 years old.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brock Purdy","QB","SF","14","12","313.0","4.2","7.5","9.10","5","After missing half the season with a toe injury, fantasy managers hopped on Purdy’s back in the fantasy playoffs as he finished the season as the QB5, 4, and 1. Always underappreciated in fantasy, his 6.2% career TD rate is the fourth best ever for a QB through their first 50 games. We always want to buy into the 49ers offense as long as CMC is alive and well; with the addition of Mike Evans, perhaps Purdy can find the formula to enter into top-10 territory at the position.","Purdy has been one of the most efficient starting QBs in the NFL since he took over for San Fran a few years ago. Kyle Shanahan's scheme is just too good, and Purdy is a great fit for it. He signed a big-time extension last off-season, so he is locked up for the next several years.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justin Herbert","QB","LAC","12","13","310.8","4.8","7.8","8.02","5","It is a miracle Big Herbs is still alive. After losing both starting All-Pro tackles, he took a career-high number of hits and was sacked 54 times, easily the most of his career. Even with all that, he managed to bank a QB9 finish, thanks mostly to career highs in rush attempts (83) and rushing yards (498). If that part of his game can stick around and his line can stay healthy, the weapons are there for Herbert to have one of the best seasons of his career in 2026. Mike McDaniel is one of the most creative play-callers in the league, so we are bullish on Herbert if you can get him late in your drafts.","Herbert became the first QB since 2018 (Deshaun Watson) to lead the league in % of drop backs pressured (43%) and make the NFL playoffs. That type of NFL life isn’t sustainable for the 28-year-old QB, but we expect 2026 to be much better. Big Herbs is a top-10 dynasty QB in our book.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bo Nix","QB","DEN","12","14","308.2","4.6","6.8","10.12","5","Nix disappointed in a sophomore season where he led the NFL in pass attempts and the Broncos were the AFC's No. 1 seed. Apart from three monster games, he was relatively uninspiring as a fantasy starter, including six weeks scoring below 15 fantasy points. Despite having one of the best offensive lines in the business, he tied Shedeur Sanders and J.J. McCarthy for lowest yards per pass attempt when pressured. We still are in on Nix for fantasy with the arrival of Jaylen Waddle and an off season of recovering from his brutal ankle injury. Consider pairing him with another late-round QB as you see how he responds as a runner in the first month of the season.","We have Nix ranked outside the top-12 of dynasty QBs, but others in your league might still think he is a top-10 guy. Only 26 years old, he is a hold but will likely settle into the low-end QB1/high-end QB2 guy, a far cry from the hoopla after last off-season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Baker Mayfield","QB","TB","9","15","307.4","4.1","6.8","12.10","5","In Weeks 1-8, the magic we saw from “Laser” Mayfield in 2024 looked like it was here to stay. He was in the MVP conversation on the back of a 13:2 TD-to-INT ratio with the team eyeing the postseason. However, after the bye, Baker stumbled, throwing nine INTs while struggling to get there for fantasy. He battled through some injuries, his OL was banged up, and his pass-catchers never quite felt in sync. With Mike Evans gone, there are some question marks with the offense that now employs its fifth different play-caller in five years. Baker is another late-round QB that should only be drafted in 1QB leagues if you buy into Tampa Bay’s early season schedule.","We are still believers in Mayfield, but Tampa does have some key decisions on their hands as he is in the final year of his current deal and entering his age-31 season. His 7.2% TD rate in 2024 looks a bit fluky, so instead of having a locked-in QB1, we have him more as a mid-tier QB2.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Patrick Mahomes","QB","KC","10","16","304.5","5.3","8.2","9.06","6","After a year in which the Chiefs failed to make the playoffs, and Mahomes tore his left ACL in Week 15, we have to reassess the aura surrounding the Kansas City QB. It is going to be really fascinating to track his recovery all offseason as he comes off the ACL plus LCL surgery. For fantasy, it is highly unlikely we will see the rushing production we saw in 2025, when Mahomes set career highs in per-game rushing attempts, yards, and TDs. The Chiefs are gifted with a “third-place” schedule and a core group willing to go for one more title run. The addition of Kenneth Walker III could take some pressure off Mahomes trying to Superman this thing every week. For fantasy purposes, he is a low-end QB1 with a name carrying more weight in your home leagues than actual fantasy-winning production.","Mahomes is the dude in KC. Forever and always...he is under contract through 2031. However, the star has lost some of his shine as we would consider him a solid but unspectacular top-10 QB in dynasty. Listen, we would love to have him on our rosters, but he is certainly not an “untouchable” in SuperFlex leagues.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyler Murray","QB","MIN","8","17","303.5","7.0","7.7","13.09","6","The Kyler Murray era in Arizona officially came to a close with the Cardinals releasing the former No. 1 overall pick in early March. Still just 28 years old, Kyler will look to get his career back on track in Minnesota, perhaps following the path of guys like Kirk Cousins and Sam Darnold. Expect the team to frame this as a QB competition throughout the summer, but if you watched JJ ""Nine"" McCarthy play NFL football in 2025, you likely know where this is headed in terms of the Week 1 starter. We are still keeping the light on for Kyler to return to being a top-10 fantasy QB.","This move makes all the sense in the world for Kyler and Kevin O'Connell's team. They are short on cash this year in terms of cap space, and with Arizona picking up the vast majority of his salary this year, they were able to sign him for the vet minimum. Kyler is looking to parlay a year of starting in Minnesota into another long-term starting gig, ala Sam Darnold. He is a high upside swing in SuperFlex if you think his rushing upside and change of scenery can restore him to QB1 status.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
