"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Matthew Stafford","QB","LAR","8","18","302.8","4.4","5.1","10.09","6","It was an all-time season for the future Hall of Famer, becoming one of six QBs ever with 4700 passing yards & 46 TDs in a season. It wasn’t just stat-padding, as his nine top-6 finishes were the most among all QBs. 33 of his 46 TDs were inside the red zone, by far the most in the league. We caution going all-in on non-mobile QBs coming off a year where his TD rate went to the moon. Stafford will likely settle into low-end QB1 territory, but you have an opportunity to scoop him up as your team’s QB2 to pair with another.","Is this a chance for one last ride? Every year, we ask that question, knowing the 38-year-old has one final year under contract with the Rams. With $408 million in career earnings, Stafford has made more money than any other player in NFL history. It is probably best just to ride off into the dynasty sunset with him.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Shough","QB","NO","11","19","302.6","4.3","7.3","13.02","6","Tyler Shough truthers, take a bow. Entering the 2025 NFL Draft cycle, a lot was made about Shough's age, but credit to New Orleans, they seem to have found a diamond in the rough. Over his final five starts, he averaged 20 fantasy points per game, a 70% completion percentage, and 27 rushing yards per game. He unlocked Chris Olave and showed out with the best completion percentage in the intermediate area of the field (11-19 yards). Believe in Kellen Moore as a play-caller and the addition of eighth overall pick Jordyn Tyson to the WR room. Shough is one of our favorite late-round targets in drafts.","Shough defied the ageists and became a legit fantasy threat down the stretch. Nevertheless, it seems many are pausing, calling the season a fluke. As a QB2 in SuperFlex, he could be acquired potentially with a late first-round rookie pick.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Willis","QB","MIA","5","20","289.3","5.3","8.0","12.08","6","Willis' time in Tennessee was pretty forgettable, to say the least. The team took him in the third round back in 2022 and moved on after just three starts in two years. However, he landed in Green Bay as Jordan Love's backup and now has a chance to revitalize his career as a starter after getting some great coaching from Matt LaFleur. We have seen other young QBs (Baker Mayfield, Sam Darnold, Daniel Jones, for example) take similar paths: dumped by their original organization, sit and learn for a couple of years as a backup, and then get a second chance at a starting gig elsewhere. Could Willis be next? For fantasy, the Dolphins project to be among the worst teams in the league with straight buns at WR, but we know his mobility (41, 73, & 60 rushing yards in three starts last year) works at the QB position for the game we play. Willis certainly has the wheels to put up fantasy-friendly numbers and is worth monitoring early on in the year as a streamer.","The red flags are there: Willis has never attempted more than 23 passes in a game in his six career starts, and the Dolphins could be terrible in 2026. The window to sell Willis is likely gone after Jaylen Waddle was dealt. Expecting anything more than one full year starting in the NFL might be wishful thinking.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordan Love","QB","GB","5","21","283.1","3.3","5.2","11.06","6","Love's 23 passing TDs and 3300+ yards might not stand out, but efficiency has always been the name of his game. He ranked sixth in Passer Rating, seventh in completion percentage over expectation, and tied Patrick Mahomes for 12th in fantasy points per dropback.  He remains one of the more polarizing starters in the league, as we have seen some really high-end play at times, yet he hasn't put it all together for a full season. For fantasy purposes, we are viewing Love as a streamer to start the season as Green Bay begins the year favored in each of their first six matchups.","Only 27 years old, Love is the type of QB in dynasty who likely costs 85 cents on the dollar compared to ""brand name QBs"". Over his last three seasons as a starter, he has a higher TD rate (5.5%) and Passer Rating (97.8) than Josh Allen and TD passes (80) than Patrick Mahomes. He remains a rock-solid QB to have on your dynasty roster, and he has proven he's the guy for LaFleur's team. Love signed a four-year extension recently, so he is under contract through 2028.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Ward","QB","TEN","10","22","277.8","4.6","6.0","16.10","7","The Titans took Cam Ward first overall in the 2025 NFL Draft, and this is the perfect example of what can happen to a young, talented QB in their first year in the league. No disrespect to the good folks of Nashville, but this was set up to fail from the get-go as the Titans trailed on 72% of his dropbacks, fifth highest in the NFL. He tied Geno Smith for the most sacks taken (55!) and finished with just one top-12 finish on the year, albeit against Super Bowl Champion Seattle in Week 12. The addition of Wan’Dale Robinson and fourth overall pick Carnell Tate gives him a shot at a Year 2 breakout. However, unless he starts running more, Ward will likely be left amongst a pile of other QBs you could stream, but need a big spike in TD rate to matter.","His 5.9 yards per attempt ranks 32nd among 35 first-round QBs over the last decade. Woof. For fantasy, he ranked dead last among all QBs in fantasy points per dropback - Ward is not running enough to overcome the offense’s shortcomings. However, in dynasty leagues, he will carry QB2 value as long as he has the starting job.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"C.J. Stroud","QB","HOU","6","23","273.3","4.2","6.1","14.10","7","The decline is painful to watch as Stroud went from fantasy darling as a rookie in 2023 to an afterthought and liability the last two seasons. He has averaged just 218 passing yards per game with six total top-12 finishes, the same number he totaled as a rookie. With arguably the best defense in the NFL, the Texans do not need Stroud to put up gaudy numbers to compete. He is stuck in redraft purgatory as a QB likely sitting on your waiver wire to be picked up only for plus matchups.","We loved Stroud as a player coming out of Ohio State and felt justified with an awesome rookie campaign. However, he is relegated to back-end QB2 territory despite his youth. The Texans’ defense and his lack of elite rushing numbers will keep his ceiling capped. The Texans extended his fifth-year option, so expect a long-term contract to be worked out in the near future.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sam Darnold","QB","SEA","8","24","265.5","4.0","6.2","14.12","7","Oh, the tales we get to tell our grandchildren about Sam Darnold resurrecting from the fantasy grave! The Super Bowl Champion has 60(!) passing TDs over the last two seasons (tied for fifth most in the NFL) with the second-best yards per pass attempt (8.2) in that span. His passing volume declined down the stretch as Seattle came up with a winning formula, leaning on the run and a play-action-based offense that hyper-targeted Jaxon Smith-Njigba. We are happy for the man Darnold, but he still belongs only in the streaming fantasy category despite his success.","Hindsight is always 20/20, but hat tip to this front office and coaching staff for that Geno deal (sorry, Raider fans). Sam Darnold signed a three-year deal with $55 (!!) million guaranteed last offseason, so we know he is the dude for the foreseeable future after finally getting the monkey off his back and taking his team to the Super Bowl. For fantasy, Darnold profiles as more of a dynasty QB2 as he only averaged about 14 fantasy PPG, but this recent success solidifies him as a locked-in starter...not something we could say as early as two years ago!","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Daniel Jones","QB","IND","11","25","259.2","7.5","6.3","17.04","7","For the first eight weeks of the season, Jones was the QB6, averaging 20.5 fantasy points per game and a scintillating 71% completion percentage. The Colts were 8-2 heading into their Week 11 bye, and then the world came crashing down with a brutal season-ending Achilles tear. Our injury timeline suggests he will be limited throughout the off-season and could be compromised early in the 2026 season, especially as a runner.","The Colts brought back the 30-year-old Jones on a two-year deal worth up to $100 million. The front office and coaching staff are essentially betting their jobs on Jones returning to form. We would make the opposite bet for fantasy, willing to sell last season’s high if someone in your league thinks they are finding a solution at QB for SuperFlex leagues.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacoby Brissett","QB","ARI","8","26","252.2","4.5","6.2","17.10","8","Where’s the Beef? Brissett was cookin’ last year for fantasy purposes, averaging over 40 pass attempts per game in his starts. His nine consecutive top-12 fantasy finishes were the most of 2025, thanks in large part to the team trailing on 73% of his dropbacks. Despite the fact that the Cardinals went 1-11 in his starts, he remains the incumbent veteran starter with Kyler Murray now donning Viking purple. He remains on the streaming radar, although we expect the passing volume to slightly decrease with new head coach Mike LaFleur calling the shots.","You need to be counting your blessings in a SuperFlex dynasty league that the 33-year-old Brissett continues to be relevant as a QB2. The window of his opportunity will be closing as the Cardinals look forward to finding a new franchise QB.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bryce Young","QB","CAR","14","27","249.3","4.0","5.4","17.04","8","First, the good: Young led his Panthers to an NFC South title and a close loss to the Rams in the Wild Card Round of the Playoffs. He also set career-highs in completion percentage (64%), passing TDs (23), and rush attempts. Yet, he exceeded 20+ fantasy points in just three games on the season and felt impossible to get a read on week-to-week. The NFC South is a weak division, but unless we see a spike in his scramble rate and pass attempts, topping 25 passing TDs would be a small miracle. It feels tough finding routes for Young to break through as anything more than a mid-QB2 for fantasy.","The Panthers picked up Young’s fifth-year option, but there is still debate about whether he is the organization’s long-term answer at QB. In 44 career starts, he has been a top-12 QB in just 23% of them. He still has a lot of life left in the NFL, but unless we get another upgrade to the pass-catchers, it will be hard seeing him will his way to anything more than a mid-to-low end QB2 in dynasty. Young seems like a prime candidate to trade away in SuperFlex leagues if he is a luxury QB3 for your roster and someone else is desperate for the position.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Aaron Rodgers","QB","PIT","5","28","243.5","7.0","3.8","","8","Rodgers spent the majority of last offseason pondering his NFL future before landing in Pittsburgh on a one-year deal with Mike Tomlin. In classic Steelers fashion, Rodgers did enough to help them stay competitive and make the playoffs, but they ultimately fell short in the Wild Card Round. Back with the Steelers again, at this point in his career, the vet isn't really on the radar for fantasy outside of 2QB formats.","Now 42 years old, Rodgers and the Steelers seemed like a one-year fling, but they hired his old coach, Mike McCarthy, to replace Tomlin. In dynasty, you are constantly guessing on the next plot twist in the reality show known as Aaron Rodgers.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Geno Smith","QB","NYJ","8","29","239.5","4.9","3.9","","8","You cannot make this stuff up - the Jets traded for Geno Smith, coming full circle on a player they once took in the second round of the NFL Draft way back in 2013! He was a shell of himself last year in Las Vegas, ranking dead last among all QBs in sack rate (10.6%) and INTs (17). For fantasy purposes, Geno is off the radar, but we would be satisfied if he gives Garrett Wilson 200 targets. At some point, expect the Jets to eventually replace him with fourth-round rookie Cade Klubnik for a few starts as they look to 2027’s QB class.","Consider him a bridge-type QB as they likely attack the position aggressively in the 2027 NFL Draft. It is wild to think Geno has been around since 2013.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Shedeur Sanders","QB","CLE","9","30","212.0","8.1","5.8","19.11","8","Sanders wasn’t that bad, right? Welp, after checking the numbers, we can report back that it was hot garbage ranking dead last in catchable target rate (66.5%), completion percentage (56.6%), and Passer Rating (68.1). He did have one week for fantasy (QB2 vs. TEN in Week 14) that gave you a glimpse of the upside, but there is no guarantee for him to be the long-term solution for Cleveland. We are monitoring the off-season news and new HC Todd Monken’s words regarding the competition between Sanders and Deshaun Watson. Even in SuperFlex leagues, we shy away from expecting anything out of the former fifth-round pick.","Among 40 rookie QBs with 7+ starts over the last decade, Sanders ranked 38th in pass success rate and 39th in INT rate. It was barf-worthy, and a year from now, he could easily be an irrelevant name in SuperFlex leagues. Shedeur truthers like Mel Kiper Jr. must be in shambles.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Penix Jr.","QB","ATL","5","31","137.1","5.3","4.7","20.02","9","The Falcons were roasted for surprisingly taking Penix eighth overall in 2024, and the results thus far are barf-worthy. In two seasons, Penix has started 12 total games while completing less than 60% of his passes. For context, that ranks 29th among 33 QBs taken in the first round of NFL Drafts over the last decade. He suffered a torn ACL in Week 11 last year, and off-season reports suggest the team is not rushing his rehab with Tua Tagovailoa now in tow as competition.","It feels like a make-or-break season for Penix entering Year 3 under a new regime with a new head coach, new GM, and new president (former QB Matt Ryan). Averaging under seven rushing yards per game in his 12 career starts, it is hard to paint a picture where Penix becomes anything more in fantasy than a bar conversation with your buddies: “Hey, remember when Atlanta paid Kirk Cousins AND drafted Michael Penix Jr.?!?!”","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Fernando Mendoza","QB","LV","","32","119.1","8.8","6.7","16.08","9","Mendoza’s storybook college career is one of the most compelling parts of the No. 1 overall pick. From his humble beginnings as a lightly recruited three-star QB to transferring to Indiana and having a season for the ages, which ended in an undefeated national championship. He jumped in every single meaningful statistical category and became Indiana’s first-ever Heisman Trophy winner and the first in the Big Ten since 2006. The Raiders are starting fresh with play-caller Klint Kubiak at the helm. In Year 1, Mendoza will likely take some lumps. He is off the redraft radar, waiting his turn to start behind veteran Kirk Cousins.","When you mix in a relatively weak draft class with Mendoza’s winning mentality, production, and precision passing, it is not hard to see why the Raiders would envision him as their heir apparent at QB. In SuperFlex, we have him in the 1.05 range behind the elite WRs. Depending on your strategy and team needs, Mendoza is not a must-target, but we can see the path of him eventually being a low-end QB1 for dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kirk Cousins","QB","LV","5","33","114.5","8.1","4.8","","9","After two middling years in Atlanta, Cousins signed a “five-year” contract with Las Vegas, but only $11.3 million was guaranteed. He reunites with Klint Kubiak, who was his play-caller during his time in Minnesota. Expect Captain Kirk to potentially start the beginning of the season before giving way to No. 1 overall pick Fernando Mendoza. In other words, Cousins is a first-round pick in your “QB-mentors-only” leagues but off the radar for fantasy in any other format.","Uncle Kirk is loaded! With $321 million in career earnings, Cousins trails only Tom Brady and Matthew Stafford in his quest to somehow earn more money than any other player in NFL history. In dynasty, he has a limited opportunity to start at the beginning of the year before Mendoza takes over.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tua Tagovailoa","QB","ATL","12","34","97.7","5.1","4.3","20.10","9","Tua’s time in Miami came to a crashing end as he was cut for an NFL-record $99.2 million in dead cap money. The Falcons, scooping up every known left-handed QB in the universe, signed him for the veteran minimum ($1 million) to pair with Michael Penix Jr., who is returning from a season-ending ACL injury. Tua’s yards per attempt declined in three straight seasons (8.9 > 8.3 > 7.2 > 6.9), signaling that the former fifth overall pick’s best days are likely behind him. Nevertheless, he could begin the season as Atlanta’s starter, but is irrelevant to the fantasy conversation.","After signing a four-year $212 million deal in July of 2024, Tua went 12-13 and finished as a top-12 QB in just a quarter of those starts. The 28-year-old is a QB3 at best in SuperFlex but likely will be supplanted by Penix at some point in 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Carson Beck","QB","ARI","","35","24.3","8.0","6.5","","9","The Cardinals selected Beck in the third round, making him the third QB taken in the draft. His experience (43 college starts) certainly helped his cause after the team brought him in for a top-30 visit. He can get the ball out quickly on 3-step drops and hit his receivers in stride in zone coverage. His arm strength is subpar, but it should not shock anyone if Beck ends up finishing the season as the Cardinals' starting QB on a team destined for a top-5 pick.","It feels like Beck has been part of the college football conversation for a while as the backup on Georgia’s two-time National Championship teams before being the starter for 2023 & 2024. The weapons surrounding him are certainly intriguing, so take a swing at Beck in the third round of your rookie drafts. He might quickly return to irrelevance if Arizona takes a QB in 2027.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Deshaun Watson","QB","CLE","9","36","17.5","6.3","4.3","","9","This is a tricky situation in Cleveland. We have not seen Watson be meaningful in fantasy since (checks… rechecks) 2020! Seriously, he averaged 13.2 fantasy points per game in 18 starts over multiple years, dealing with injuries and the scrutiny of NFL fans and the media. He will battle Shedeur Sanders for first-team reps this summer, but is nowhere near consideration for fantasy.","The Browns converted nearly $45 million of his salary into a signing bonus for the third year in a row, kicking the can down the road for arguably the worst sports contract of all-time. He is in the final year of his deal, but in dynasty, he is basically worthless as a potential short-term QB3.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"